word,a1_word,a1_guid,a2_word,a2_guid
polizei,die Polizei,d+^M)oVt#|,Polizei,GrdgAVkMb$
pommes frites,die Pommes frites (pl.),ERM$oAbcF9,Pommes frites,II$g&2(E*l
post,die Post,"bXAwl,=~4H",Post,HddR.E4:=V
postleitzahl,die Postleitzahl,EnCU8Ge#Ho,Postleitzahl,olu:^ifMnF
praktikum,das Praktikum,"G,Y+;gJWS|",Praktikum,"r,QS%lPL+r"
praxis,die Praxis,Ey{Ps_zg<-,Praxis,"G`[k}WY,Fh"
preis,"der Preis, -e",kw{.q7_;CH,Preis,CU%1P|G>f=
problem,"das Problem, -e",gm;._|yZ^L,Problem,chNK]z([[)
prospekt,"der Prospekt, -e","d_y,BZUXDO",Prospekt,Q`Y&wr0MZ2
prüfung,die Prüfung,Q&GfhtoC;o,Prüfung,P?;nPI`M&V
pünktlich,pünktlich,wD/!^{o1~&,pünktlich,v2Gjs}@m`!
rauchen,rauchen,mP<twHb}47,rauchen,A|qRm4_N#T
raum,"der Raum, -ä, e",MZ4B5AO/Z!,Raum,v~+NI^SY-g
rechnung,"die Rechnung, -en",r^m!IiH-I],Rechnung,vdo;[j1$UL
rechts,rechts,N:?xZ3=K*$,rechts,E?daR{;V^V
regen,der Regen,PX/[6jgMyO,Regen,k5<Iu7*B>%
regnen,regnen,G>kROyF^0$,regnen,sY_(641[BG
reis,der Reis,"P0h8,,SctI",Reis,cNO%<(``nl
reise,die Reise,p0@5*ca$*Y,Reise,r^s{;eSm&e
reisebüro,"das Reisebüro, -s",htB|V6/x#1,Reisebüro,gp1KYw;u$2
reiseführer,der Reiseführer,C>~+=-z%T+,Reiseführer,Aoa`f6p:Rl
reisen,reisen,t?*w3WEgn=,reisen,qdVYr`hPu
reparatur,die Reparatur,"h4I,CX?b5_",Reparatur,E3K-VO(E|p
reparieren,reparieren,FR_fq1kaRz,reparieren,ntK]U}|0sG
restaurant,"das Restaurant, -s",x<tNuR0|Fu,Restaurant,bt.ff!VBRT
rezeption,die Rezeption,B/Hoy/N&Nv,Rezeption,"sw^B,.X>8U"
richtig,richtig,F2]=?9>$0~,richtig,Lcou%xkvaJ
riechen,riechen,kaPlSSKxLI,riechen,Ih!CNZ)h)@
ruhig,ruhig,oNE`~4sORV,ruhig,qC>hNTp;(k
saft,der Saft,L4nF:LUYwX,Saft,tc2108#GM!
sagen,sagen,s0N5d9ABUt,sagen,O/e;V}}{pK
salat,der Salat,MxBNu80ls],Salat,q>tEKw:npB
salz,das Salz,O-J@+bK!-n,Salz,Ll-HsK>gHS
satz,"der Satz, -ä, e",A$B:G.Timp,Satz,JHglIdH59y
schalter,der Schalter,Odk5VZ3A16,Schalter,"kgsb&>,igz"
scheinen,scheinen,zJtAGF*>o[,scheinen,Ebl[:J?^qc
schicken,schicken,IovHKH$q.%,schicken,hEs5R;BS>-
schild,"das Schild, -er",rLH)wBr/[^,Schild,"o;uOCy%J=,"
schlafen,schlafen,"h,u1^iQaLC",schlafen,vSaF.ti.dn
schlecht,schlecht,lzo$#r=e5S,schlecht,f%dgG506qX
schließen,schließen,"BU>,oQeg>[",schließen,g:?1{G!sBl
schluss,der Schluss,G)4#IKM9uo,Schluss,I#|.j@fKc{
schlüssel,"der Schlüssel, –",v%?nePWQC8,Schlüssel,o`<KyJ9*o2
schmecken,schmecken,l]F9[<E~Wr,schmecken,Zt/1Sy}l]
schnell,schnell,zp?o/2cMr9,schnell,NrE|O|zVl$
schon,schon,hbblF`QGM@,schon,y2&4(8asyQ
schrank,"der Schrank, -ä, e",ry|Pv;Sz*},Schrank,e_gx#mpvad
schreiben,schreiben,"u{V,L?T`_;",schreiben,ov?A=RT*Rt
schuh,"der Schuh, -e",F16@IkQU+W,Schuh,j37>G[cKn3
schule,die Schule,izN++?2;X|,Schule,LGV~6%@;_s
schwer,schwer,d-ZfkEYIx5,schwer,v%q[oy?}b4
schwimmbad,das Schwimmbad,MR}3oJzHR-,Schwimmbad,cqoIx61vzp
schwimmen,schwimmen,EMD}lnm1`K,schwimmen,"E/D;i,Z/^H"
schön,schön,D[pA_V9@&_,schön,vt3k}WRP1M
schüler,"der Schüler, –",PQaymw*_8y,Schüler,AYd<=ft!N7
see,der See,e{n}Pz`0:_,See (Meer),O*=W4Tgr=K
sehen,sehen,miPkfSh5SH,sehen,Jy0ueL:]O_
sehenswürdigkeit,"die Sehenswürdigkeit, -en",EC5_Pf5|t>,Sehenswürdigkeit,q27S=e:D}z
sehr,sehr,j>8*}nGE}O,sehr,D]<s!lr=?-
sein,sein,BC&o(d?+Hs,sein,k15H@`6;4K
seit,seit,xDPP~E~es0,seit,A?FB8wJy>g
sich kümmern,sich kümmern,b%$HWt!&~T,sich kümmern,OS0a9/z$g@
sitzen,sitzen,gPT;Zjq{a^,sitzen,mVqi9Do+@3
so,so,DVHdV&k0b>,so,DLk`j0!p`6
sofa,das Sofa,"mU]Z&38,yR",Sofa,bQ}L7$-_jx
sofort,sofort,kqEnP%pLlh,sofort,uge;U&31U
sollen,sollen,Na.th%O>CZ,sollen,bhfN#4C.id
sonne,die Sonne,sW.#Lz}cD8,Sonne,H=W=x:0._s
speisekarte,die Speisekarte,k/xV8<N/J),Speisekarte,oS_|wjnIyK
spielen,spielen,K)Z6m;LC)I,spielen,BJcG|MB:Vy
sport,der Sport,r^_r$Qv2yG,Sport,L_6582;=>D
sprache,"die Sprache, -n",DqY1U(UaNk,Sprache,G@Qc4KMW{~
sprechen,sprechen,AWyo6`L_te,sprechen,wcN`$_{B/G
spät,spät,CN7YH{TKWU,spät,"P<,xOBPAOn"
später,später,y(D)sp.yN1,später,zg~3xCNX6i
stadt,"die Stadt, -ä, e",Mbt!<yddx},Stadt,v5%7jLTT6w
stehen,stehen,xQ>ORPL>c8,stehen,NNGSOscXxg
stelle,"die Stelle, -n",fe=X%x>cL=,Stelle,pbIp#qfIW8
stellen,stellen,pzqOP(uK0p,stellen,ze5kNYxK3=
stock,der Stock,"tpHb!^!VN,",Stock,Aa{j!X`/Yo
straße,"die Straße, -n",m!lg[OSX2L,Straße,Kd1mBaYGlv
straßenbahn,die Straßenbahn,hR~stHXhz0,Straßenbahn,Nw)j;-_pb9
student,"der Student, -en",lw@:yV]@n%,Student,c)8E>pyrO:
studieren,studieren,hSP-q]f9{=,studieren,iMdG#oSXTz
studium,das Studium,da-HwaW9!#,Studium,cA.uWZ2C;J
suchen,suchen,oH)Rw)%;u3,suchen,eNVbXQ;mqm
tanzen,tanzen,QveZ0t(@HK,tanzen,rHo5AivL?d
tasche,"die Tasche, -n","y,nQ}|kvs=",Tasche,"QbQ/K7Zb,J"
taxi,"das Taxi, -s",Fy`BTtTn.M,Taxi,N}bM60Vld^
tee,der Tee,y`x?~u=VSg,Tee,z.6YX)h>7W
telefon,das Telefon,sAR8VHd7*U,Telefon,bjlSt73?)/
telefonieren,telefonieren,lMXId^o|oP,telefonieren,m/{PUwuRcm
termin,"der Termin, -e",MX69}Ox?!(,Termin,IqzhWyMM?x
teuer,teuer,jwD!0GDS$@,teuer,pR|YQ4)PZy
text,"der Text, -e",wd|ecj1.qe,Text,C%PQ96uhRs
thema,das Thema,xX-(@/lyur,Thema,wAV5KRv&Jh
ticket,"das Ticket, -s",N9R?Li18FJ,Ticket,JXt=.~&!J0
tisch,"der Tisch, -e",elqUP46lZ+,Tisch,b:C:^9F%f^
toilette,"die Toilette, -en",w|))ZlJ~[T,Toilette,M/.hd9N:lU
tomate,"die Tomate, -n",ec@l>B_$sE,Tomate,"mG5nA,[zgZ"
tot,tot,wO#-Z<YxfU,tot,QR_GOU79&m
treppe,"die Treppe, -n",N4@_g~C`Il,Treppe,J=KyX$}l7<
trinken,trinken,tD3V_irR-6,trinken,EEgr=k.$Cd
tun,tun,vLZJvJBnit,tun,G/os*AB(M$
uhr,die Uhr,Q;#z$qUuK},Uhr,KniuxXE)c0
um,um,h<7xj2pNR!,um,yi9RptraU}
umziehen,umziehen,iA1MzD?k~8,umziehen,g^c|hz/lCq
und,und,u{Y^<D@A#M,und,O8d2WjCfzZ
unten,unten,NrQ25i.K5#,unten,lFMKg9;ZCt
unter,unter,jo0`}76Hxy,unter,M6|F;<|_[n
unterricht,der Unterricht,q7p&>K-`sY,Unterricht,HJ)-Ba<EpL
unterschreiben,unterschreiben,GOjZRf4LF!,unterschreiben,PkMJVMnp85
unterschrift,die Unterschrift,xJxpr:paTK,Unterschrift,i@l(Xl+Shq
urlaub,der Urlaub,I_LU.i<jtq,Urlaub,FC}Myeuap?
verdienen,verdienen,m(#Sp<7(GZ,verdienen,Jo7g)x%gMv
verein,der Verein,nZ*zuih%Z-,Verein,EHO{O1iIf`
verkaufen,verkaufen,A+bAjgF$#9,verkaufen,xbWCkWC3ri
vermieten,vermieten,QaU1_2HL7#,vermieten,v3gmSnE>#5
vermieter,der Vermieter,jORgdwKnd=,Vermieter,qK8Y&wp$5&
verstehen,verstehen,N!]n~&.NuC,verstehen,e~tD@PZh1g
viel,viel,ifc]{4860%,viel,"r`,gB{ZJat"
vielleicht,vielleicht,mx$_~FAU?%,vielleicht,e#*ZL]dnPs
von,von,xa^Lb&A$AQ,von,Mq}5}TED:9
vor,vor,e8Q?Ypem6Q,vor,e9-KA$nYIE
vorname,"der Vorname, -n",DF2-c<+kqW,Vorname,e!_ZK[2-_l
wandern,wandern,Dgs`@d<Uqv,wandern,biSt%&w!oX
wann,wann,KF8~m1Nrbw,wann,K-X(FaGi%o
warten,warten,zY3P6w<r`E,warten,gSTP$%qq};
warum,warum,l;?&Vi*GU,warum,qbWHawaD[I
was,was,E?;!:I<*GH,was,Kw7rLDbRX7
wasser,das Wasser,GG$]Pjis<5,Wasser,zURgN<.RhQ
weg sein,weg sein,EP}V+w3c]),weg sein,"o.]Pm;k,Wq"
weiblich,weiblich,hj(fX^}O~(,weiblich,M=X}Q[RTM^
wein,der Wein,nZ5&={2nu,Wein,LRqwe/hZza
weit,weit,A[?NC{@&{=,weit,o1n}A5x.09
weiter,weiter,kcN*6v<8oE,weiter,IU@YptbzK*
welt,die Welt,xYBp!dq5vs,Welt,iE}21fl|2^
wenig,wenig,u_Qf?/t(lt,wenig,pgAKH.SD9Y
wer,wer,wMaLk)ruUj,wer,ezeYv))VG|
werden,werden,d+=Z>>SEP*,werden,p`Zcjg7p%E
wetter,das Wetter,Lgc/`K|x[<,Wetter,btggSJdE&5
wichtig,wichtig,Cs4<C@9M=q,wichtig,l)VfdoDp[z
wie,wie,x@jaBN1$>z,wie,wgGzK=aXmn
wie viel,wie viel,"K,%8iRk>to",wie viel,JBg1h{^}kS
wiederholen,wiederholen,kjtm4ebf>F,wiederholen,iG3?Gz;xYc
wiederhören,das Wiederhören,B5b|]~ue~D,Wiederhören,q(Zoh4!.K9
wiedersehen,das Wiedersehen,"BHv~u,r&CY",Wiedersehen,j4x;m1sfyJ
willkommen,willkommen,gZa<UCcN}>,willkommen,N;j$UdyR0=
wind,der Wind,NW@0E3^D3J,Wind,AzR7WYrP|F
wissen,wissen,tN6Y7Lqy>[,wissen,"xD@,rIa56l"
wo,wo,DN9gmW)u1(,wo,O^u@z7T8zv
woher,woher,E`tOQ!pXJo,woher,"Q,oZQhU7Wg"
wohin,wohin,"p,s9oFa:Qa",wohin,rjJB{ie7x4
wohnen,wohnen,"PL,;0eC)d^",wohnen,k<UY6#2J(D
wohnung,"die Wohnung, -en",t|=pN@U7<T,Wohnung,Q0k2J<-Y*i
wollen,wollen,rtwq:ZPI_p,wollen,e@udQ)}]Y8
wort,"das Wort, -ö, er/-e",g3:C^Mkiqb,Wort,r0Wqh-uda0
wunderbar,wunderbar,mFA}ng!*dz,wunderbar,l2>]!p#R^m
zahlen,zahlen,pclnarWz7j,zahlen,M}tixXehRA
zeit,die Zeit,q3Z}O`h7m`,Zeit,g[-!grh:Oe
zeitung,"die Zeitung, -en",KQGv)[_wI!,Zeitung,bICe}42DS!
zimmer,"das Zimmer, –","Io<yroV67,",Zimmer,wD8JTlllAh
zu,zu,r0?v|Y/A%4,zu,J]h8PE3qUW
zu sein,zu sein,S7^eSo><1,zu sein,hS#%|[MrPR
zufrieden,zufrieden,i^5+PZA(`Y,zufrieden,K]klv.Ut4x
zug,"der Zug, -ü, e","gmnd1qcP[,",Zug,QSmrzD~?K]
zurück,zurück,Mi*f@L~ury,zurück,BnEYC#!|ry
zusammen,zusammen,Cd@]lDSko`,zusammen,CI=tSX@t%C
zwischen,zwischen,"f0hXxawx2,",zwischen,Htg<8ZEn#[
öffnen,öffnen,J-hc7w[{Lw,öffnen,v:`ZqZm5hs
öl,das Öl,z/Gk`z{PbH,Öl,n?s5ntu;r)
über,über,k6aiILNS2C,über,oUN|>dVY*W
übernachten,übernachten,zh2X>()!:Q,übernachten,M*Ehj?0&vL
überweisen,überweisen,l:Y~#ex*#I,überweisen,Je*1{tP6Ix
